,추정EPS(2023),EPS(3년 평균),EV/EVIBTA
010620,-583.0,-1051.0,-207.25
069960,7684.0,6464.333333333333,4.51
004560,,2527.6666666666665,
004310,,2.3333333333333335,
017800,,2109.6666666666665,
307950,5461.0,2728.0,12.9
011210,3562.0,2188.0,3.99
004020,5912.0,2619.0,5.18
005440,9869.0,578.0,10.62
005380,45353.0,11250.0,6.42
005387,45353.0,11250.0,6.42
005389,45353.0,11250.0,6.42
005385,45353.0,11250.0,6.42
001500,,2511.6666666666665,
011760,6716.0,2606.6666666666665,5.63
227840,,1482.6666666666667,
126560,,300.0,
001450,12669.0,3854.0,
057050,14083.0,8265.0,5.79
093240,,66.66666666666667,
003010,,402.3333333333333,
111110,,-114.0,
008770,3521.0,-721.6666666666666,12.34
008775,3521.0,-721.6666666666666,12.34
002460,3488.0,1894.0,5.91
378850,,525.0,
